pfc_score,section_min,section_max
100,0.0 ,0.0 
99,0.0,0.2
98,0.2 ,0.4
97,0.4 ,0.6
96,0.6 ,0.8
95,0.8 ,0.9
94,0.9 ,1.1
93,1.1 ,1.3
92,1.3 ,1.5
91,1.5 ,1.7
90,1.7 ,1.9
89,1.9 ,2.1
88,2.1 ,2.4
87,2.4 ,2.6
86,2.6 ,2.8
85,2.8 ,3
84,3.0 ,3.2
83,3.2 ,3.4
82,3.4 ,3.7
81,3.7 ,4
80,4.0 ,4.3
79,4.3 ,4.6
78,4.6 ,5
77,5.0 ,5.3
76,5.3 ,5.6
75,5.6 ,5.9
74,5.9 ,6.3
73,6.3 ,6.6
72,6.6 ,6.9
71,6.9 ,7.2
70,7.2 ,7.6
69,7.6 ,8
68,8.0 ,8.4
67,8.4 ,8.9
66,8.9 ,9.2
65,9.2 ,9.6
64,9.6 ,10.1
63,10.1 ,10.5
62,10.5 ,10.8
61,10.8 ,11.2
60,11.2 ,11.7
59,11.7 ,12.1
58,12.1 ,12.6
57,12.6 ,13
56,13.0 ,13.4
55,13.4 ,13.9
54,13.9 ,14.4
53,14.4 ,15
52,15.0 ,15.4
51,15.4 ,16
50,16.0 ,16.5
49,16.5 ,16.9
48,16.9 ,17.5
47,17.5 ,18
46,18.0 ,18.4
45,18.4 ,19
44,19.0 ,19.5
43,19.5 ,20
42,20.0 ,20.4
41,20.4 ,21
40,21.0 ,21.5
39,21.5 ,22
38,22.0 ,22.6
37,22.6 ,23.2
36,23.2 ,23.6
35,23.6 ,24.3
34,24.3 ,24.8
33,24.8 ,25.4
32,25.4 ,26
31,26.0 ,26.6
30,26.6 ,27.2
29,27.2 ,27.7
28,27.7 ,28.3
27,28.3 ,28.8
26,28.8 ,29.3
25,29.3 ,29.9
24,29.9 ,30.4
23,30.4 ,31.1
22,31.1 ,31.6
21,31.6 ,32.4
20,32.4 ,33
19,33.0 ,33.6
18,33.6 ,34.4
17,34.4 ,35
16,35.0 ,35.6
15,35.6 ,36.4
14,36.4 ,37.2
13,37.2 ,38
12,38.0 ,38.8
11,38.8 ,39.6
10,39.6 ,40.4
9,40.4 ,41.2
8,41.2 ,42.2
7,42.2 ,43.5
6,43.5 ,44.7
5,44.7 ,46.4
4,46.4 ,48.6
3,48.6 ,50.6
2,50.6 ,53.6
1,53.6 ,58.4
0,58.4 ,100000000000000
